k,linear_acc,linear_sem,mlp_acc,mlp_sem,convex_acc,convex_sem
0,0.34305555555555556,0.017934960514090218,0.30763888888888885,0.017329832935371912,0.33472222222222225,0.021703472122231823
1,0.28680555555555554,0.018085578670979745,0.32083333333333336,0.018042195912175804,0.34097222222222223,0.024674775006166483
2,0.2881944444444444,0.017934960514090218,0.3326388888888889,0.02499517700390998,0.33472222222222225,0.01627505784063606
5,0.31805555555555554,0.03094371508216846,0.33125,0.02275034340400162,0.3381944444444444,0.02168680065225999
10,0.3284722222222222,0.03322102027740275,0.3506944444444444,0.03500750856408089,0.37013888888888885,0.035059129396098045
20,0.34097222222222223,0.027225410810989805,0.3638888888888889,0.03038343250324117,0.38819444444444445,0.02845951613506412
30,0.3368055555555556,0.02360345055466298,0.36319444444444443,0.025009643201901535,0.3840277777777778,0.026334007258136866
