head,held_out,k,n_calib,n_eval,acc,tag
convex,1,0,0,160,0.6625,src(K=0)
convex,1,1,4,160,0.675,"anchored,r=620"
convex,1,2,8,160,0.675,"anchored,r=310"
convex,1,5,20,160,0.66875,"anchored,r=124"
convex,1,10,40,160,0.675,"anchored,r=62"
convex,1,20,80,160,0.675,"anchored,r=31"
convex,1,30,120,160,0.68125,"anchored,r=21"
convex,2,0,0,160,0.3,src(K=0)
convex,2,1,4,160,0.3125,"anchored,r=620"
convex,2,2,8,160,0.33125,"anchored,r=310"
convex,2,5,20,160,0.375,"anchored,r=124"
convex,2,10,40,160,0.3625,"anchored,r=62"
convex,2,20,80,160,0.375,"anchored,r=31"
convex,2,30,120,160,0.39375,"anchored,r=21"
convex,3,0,0,160,0.70625,src(K=0)
convex,3,1,4,160,0.69375,"anchored,r=620"
convex,3,2,8,160,0.70625,"anchored,r=310"
convex,3,5,20,160,0.75,"anchored,r=124"
convex,3,10,40,160,0.74375,"anchored,r=62"
convex,3,20,80,160,0.775,"anchored,r=31"
convex,3,30,120,160,0.81875,"anchored,r=21"
convex,4,0,0,160,0.31875,src(K=0)
convex,4,1,4,160,0.36875,"anchored,r=620"
convex,4,2,8,160,0.3875,"anchored,r=310"
convex,4,5,20,160,0.425,"anchored,r=124"
convex,4,10,40,160,0.425,"anchored,r=62"
convex,4,20,80,160,0.39375,"anchored,r=31"
convex,4,30,120,160,0.40625,"anchored,r=21"
convex,5,0,0,160,0.4,src(K=0)
convex,5,1,4,160,0.3875,"anchored,r=620"
convex,5,2,8,160,0.4125,"anchored,r=310"
convex,5,5,20,160,0.325,"anchored,r=124"
convex,5,10,40,160,0.4,"anchored,r=62"
convex,5,20,80,160,0.3875,"anchored,r=31"
convex,5,30,120,160,0.40625,"anchored,r=21"
convex,6,0,0,160,0.34375,src(K=0)
convex,6,1,4,160,0.35,"anchored,r=620"
convex,6,2,8,160,0.3875,"anchored,r=310"
convex,6,5,20,160,0.4,"anchored,r=124"
convex,6,10,40,160,0.40625,"anchored,r=62"
convex,6,20,80,160,0.40625,"anchored,r=31"
convex,6,30,120,160,0.38125,"anchored,r=21"
convex,7,0,0,160,0.425,src(K=0)
convex,7,1,4,160,0.50625,"anchored,r=620"
convex,7,2,8,160,0.51875,"anchored,r=310"
convex,7,5,20,160,0.54375,"anchored,r=124"
convex,7,10,40,160,0.53125,"anchored,r=62"
convex,7,20,80,160,0.56875,"anchored,r=31"
convex,7,30,120,160,0.5875,"anchored,r=21"
convex,8,0,0,160,0.56875,src(K=0)
convex,8,1,4,160,0.54375,"anchored,r=620"
convex,8,2,8,160,0.56875,"anchored,r=310"
convex,8,5,20,160,0.5875,"anchored,r=124"
convex,8,10,40,160,0.59375,"anchored,r=62"
convex,8,20,80,160,0.625,"anchored,r=31"
convex,8,30,120,160,0.63125,"anchored,r=21"
convex,9,0,0,160,0.5,src(K=0)
convex,9,1,4,160,0.4875,"anchored,r=620"
convex,9,2,8,160,0.50625,"anchored,r=310"
convex,9,5,20,160,0.46875,"anchored,r=124"
convex,9,10,40,160,0.54375,"anchored,r=62"
convex,9,20,80,160,0.58125,"anchored,r=31"
convex,9,30,120,160,0.61875,"anchored,r=21"
