k,linear_acc,linear_sem,n_subjects,convex_acc,convex_sem
0,0.4847222222222222,0.04792924553089161,9,0.4680555555555556,0.05081203067600973
1,0.49583333333333335,0.05212498334665335,9,0.47847222222222224,0.05020694058311111
2,0.5097222222222223,0.05110658192492806,9,0.4861111111111111,0.048331287871788385
5,0.5368055555555555,0.057513249949495,9,0.5027777777777778,0.04455011309930081
10,0.5604166666666667,0.05357246196093246,9,0.5034722222222222,0.04936786946480299
20,0.5506944444444444,0.05079067160937001,9,0.5208333333333334,0.05426673449012961
30,0.5527777777777777,0.050562280154110094,9,0.53125,0.05347109486546082
