k,linear_acc,linear_sem,n_subjects,convex_acc,convex_sem
0,0.4847222222222222,0.04792924553089161,9,0.4694444444444444,0.049743749219572836
1,0.49583333333333335,0.05212498334665335,9,0.48055555555555557,0.04630960456869224
2,0.5097222222222223,0.05110658192492806,9,0.4993055555555556,0.04405208757542697
5,0.5368055555555555,0.057513249949495,9,0.5048611111111111,0.04760744629678465
10,0.5604166666666667,0.05357246196093246,9,0.5201388888888889,0.044314044815399495
20,0.5506944444444444,0.05079067160937001,9,0.5319444444444444,0.048930005595042236
30,0.5527777777777777,0.050562280154110094,9,0.5472222222222222,0.052219728811633
