k,linear_acc,linear_sem,convex_acc,convex_sem
0,0.625,0.03669693037486141,0.6477272727272727,0.03326932066869999
1,0.5880681818181819,0.032266524692047,0.6164772727272727,0.04151728189544483
2,0.6022727272727273,0.04208273180784325,0.6136363636363636,0.03983066281293927
5,0.6306818181818182,0.038356030359450205,0.6392045454545454,0.03553165004969283
10,0.6335227272727273,0.03680673122406058,0.6392045454545454,0.04368248289965477
