k,acc_mean,acc_std,n_subjects,sem
0,0.4680555555555556,0.1436291762761932,9,0.0478763920920644
1,0.31666666666666665,0.10834334889599821,9,0.036114449631999404
2,0.3819444444444444,0.13078206930912883,9,0.043594023103042945
5,0.37916666666666665,0.1410756667536964,9,0.04702522225123213
10,0.4444444444444444,0.12760735540233478,9,0.042535785134111596
20,0.44305555555555554,0.1317121493172812,9,0.04390404977242707
30,0.45763888888888893,0.12238585952270431,9,0.040795286507568106
