k,source_acc,source_sem,finetune_acc,finetune_sem,lora_acc,lora_sem,convex_acc,convex_sem
0,0.4680555555555556,0.0478763920920644,0.4680555555555556,0.0478763920920644,0.4680555555555556,0.0478763920920644,0.4680555555555556,0.0478763920920644
1,0.4680555555555556,0.0478763920920644,0.5020833333333333,0.05516901115360567,0.4847222222222222,0.04971829399442473,0.31666666666666665,0.036114449631999404
2,0.4680555555555556,0.0478763920920644,0.5145833333333333,0.055277079839256664,0.4965277777777778,0.05835296461995973,0.3819444444444444,0.043594023103042945
5,0.4680555555555556,0.0478763920920644,0.5319444444444444,0.055808884226814424,0.5229166666666667,0.06143184457411138,0.37916666666666665,0.04702522225123213
10,0.4680555555555556,0.0478763920920644,0.5111111111111111,0.05459344866690214,0.4930555555555556,0.05172212711830379,0.4444444444444444,0.042535785134111596
20,0.4680555555555556,0.0478763920920644,0.5333333333333333,0.06167863059619774,0.5277777777777778,0.05481494189487271,0.44305555555555554,0.04390404977242707
30,0.4680555555555556,0.0478763920920644,0.4395833333333333,0.0658725489740099,0.4055555555555556,0.043156244273025966,0.45763888888888893,0.040795286507568106
