k,acc_mean,acc_std,n_subjects,sem
0,0.2472222222222222,0.011501092655705899,8,0.00406625030395222
1,0.24709302325581395,0.012036027197831756,8,0.004255378225066277
2,0.24695121951219512,0.012623150475774775,8,0.004462957650679268
5,0.2464285714285714,0.014787119128764726,8,0.005228036105081425
10,0.245,0.02070196678027063,8,0.007319250547114
20,0.225,0.08864052604279184,8,0.031339158526400436
